eurio_id;numista_id;display_name
at-2002-2eur-standard;64;Autrice 2002 - Standard
ad-2014-2eur-standard;68395;Andorre 2014 — Standard
de-2007-2eur-schwerin-castle-mecklenburg-vorpommern;2201;Allemagne 2007 — Schwerin
de-2020-2eur-50-years-since-the-kniefall-von-warschau;226447;Allemagne 2020 — Kniefall
fr-2007-2eur-standard;6376;France 2007 — Standard
be-2008-2eur-standard;6293;Belgique 2008 - Standard
be-2007-2eur-standard;6292;Belgique 2007 - Standard
es-1999-2eur-standard;88;Espagne 1999 - Standard
fr-2018-2eur-simone-veil;141382;France 2018 - Simone Veil
fr-2016-2eur-100-years-since-the-birth-of-francois-mitterrand;91431;France 2016 - François Mitterrand
it-2016-2eur-550-years-since-the-death-of-donatello;82330;Italie 2016 - Donatello
it-2016-2eur-2200-years-since-the-death-of-plautus;84714;Italie 2016 - Plautus 
fr-2008-2eur-french-presidency-of-the-council-of-the-european-union;3561;France 2008 - Conseil EU 
mt-2008-2eur-standard;2188;Malte 2008 - Circulation
fi-2017-2eur-100-years-of-independence;113429;Finlande 2017 - Indépendance
es-2016-2eur-old-city-of-segovia-and-its-aqueduct;81058;Espagne 2016 - Segovia Aqueduc 
be-2011-2eur-1st-centenary-of-the-international-womens-day;19734;Belgique 2011 - 100 ans Femmes
fi-2016-2eur-100th-anniversary-of-the-birth-of-georg-henrik-von-wright;93999;Finlance 2016 - 100 ans Henrik
at-2005-2eur-50th-anniversary-of-the-austrian-state-treaty;2193;Autriche 2005 - 50 ans traité
