# Cohorte de prescription du corpus de scan (P5) — générée par
# ml/scripts/build_scan_prescription.py. Une ligne par classe.
eurio_id;numista_id;display_name
ad-2014-2eur-standard-1st-type;68395;Standard 1St Type
at-2002-2eur-standard-1st-map;64;Standard 1St Map
at-2005-2eur-50th-anniversary-of-the-austrian-state-treaty;2193;50Th Anniversary Of The Austrian State Treaty
at-2016-2eur-200th-anniversary-of-the-national-bank;80926;200Th Anniversary Of The National Bank
at-2018-2eur-100-years-republic-of-austria;131199;100 Years Republic Of Austria
be-2006-2eur-reopening-of-the-brussels-atomium;2166;Reopening Of The Brussels Atomium
be-2007-2eur-standard-albert-ii-2nd-map-1st-type-1st-portrait;6292;Standard Albert Ii 2Nd Map 1St Type 1St Portrait
be-2008-2eur-standard-albert-ii-2nd-map-2nd-type-2nd-portrait;6293;Standard Albert Ii 2Nd Map 2Nd Type 2Nd Portrait
be-2009-2eur-200th-anniversary-of-louis-brailles-birth;8070;200Th Anniversary Of Louis Brailles Birth
be-2009-2eur-standard-albert-ii-2nd-map-2nd-type-1st-portrait;6311;Standard Albert Ii 2Nd Map 2Nd Type 1St Portrait
be-2010-2eur-belgian-presidency-of-the-european-union;11550;Belgian Presidency Of The European Union
be-2011-2eur-100th-international-womens-day;19734;100Th International Womens Day
be-2012-2eur-10-years-of-euro-cash;28325;10 Years Of Euro Cash
be-2012-2eur-75th-anniversary-of-queen-elisabeth-music-competition;32526;75Th Anniversary Of Queen Elisabeth Music Competition
be-2014-2eur-100th-anniversary-of-the-beginning-of-ww-i;59828;100Th Anniversary Of The Beginning Of Ww I
be-2014-2eur-standard-philippe;56039;Standard Philippe
be-2015-2eur-30th-anniversary-of-the-flag-of-the-european-union;77181;30Th Anniversary Of The Flag Of The European Union
be-2016-2eur-child-focus;87173;Child Focus
cy-2008-2eur-standard-1st-type;2180;Standard 1St Type
de-2002-2eur-standard-1st-map;112;Standard 1St Map
de-2006-2eur-state-of-schleswig-holstein;2169;State Of Schleswig Holstein
de-2007-2eur-state-of-mecklenburg-vorpommern;2201;State Of Mecklenburg Vorpommern
de-2008-2eur-federal-state-of-hamburg;2994;Federal State Of Hamburg
de-2008-2eur-standard-2nd-map;6323;Standard 2Nd Map
de-2009-2eur-10th-anniversary-of-economic-and-monetary-union;5054;10Th Anniversary Of Economic And Monetary Union
de-2012-2eur-state-of-bavaria;29694;State Of Bavaria
de-2013-2eur-50th-anniversary-of-the-elysee-treaty;41786;50Th Anniversary Of The Elysee Treaty
de-2013-2eur-state-of-baden-wurttemberg;42149;State Of Baden Wurttemberg
de-2016-2eur-state-of-saxony;80927;State Of Saxony
de-2018-2eur-state-of-berlin;132935;State Of Berlin
de-2019-2eur-30-years-of-the-fall-of-the-berlin-wall;180626;30 Years Of The Fall Of The Berlin Wall
de-2020-2eur-brandenburg-the-bundeslander-series;193506;Brandenburg The Bundeslander Series
de-2020-2eur-german-polish-reconciliation;226447;German Polish Reconciliation
de-2021-2eur-bundeslander-series-saxony-anhalt;267621;Bundeslander Series Saxony Anhalt
ee-2011-2eur-standard-2nd-map;16593;Standard 2Nd Map
ee-2016-2eur-100th-anniversary-of-the-birth-of-paul-keres;80919;100Th Anniversary Of The Birth Of Paul Keres
es-1999-2eur-standard-juan-carlos-i-1st-type-1st-map;88;Standard Juan Carlos I 1St Type 1St Map
