session;ordre;eurio_id;numista_id;strate;condition;n_captures;fond;passe;pays;annee;titre;n_fps_banque;n_gold_review
1;1;be-2014-2eur-100th-anniversary-of-the-beginning-of-ww-i;59828;canonique;bright;3;papier-blanc;1;BE;2014;100Th Anniversary Of The Beginning Of Ww I;0;2
1;2;be-2014-2eur-100th-anniversary-of-the-beginning-of-ww-i;59828;canonique;tilt;3;bois-clair;1;BE;2014;100Th Anniversary Of The Beginning Of Ww I;0;2
1;3;be-2014-2eur-100th-anniversary-of-the-beginning-of-ww-i;59828;canonique;dim;3;papier-blanc;1;BE;2014;100Th Anniversary Of The Beginning Of Ww I;0;2
1;4;fi-2016-2eur-90th-anniversary-of-the-death-of-the-writer-eino-leino;86837;riche;glare;2;tissu-gris;1;FI;2016;90Th Anniversary Of The Death Of The Writer Eino Leino;10;16
1;5;fi-2016-2eur-90th-anniversary-of-the-death-of-the-writer-eino-leino;86837;riche;dim;2;table-sombre;1;FI;2016;90Th Anniversary Of The Death Of The Writer Eino Leino;10;16
1;6;fi-2016-2eur-90th-anniversary-of-the-death-of-the-writer-eino-leino;86837;riche;inhand;2;tissu-gris;1;FI;2016;90Th Anniversary Of The Death Of The Writer Eino Leino;10;16
1;7;it-2002-2eur-standard-1st-map;136;moyenne;dim;2;papier-blanc;1;IT;2002;Standard 1St Map;2;3
1;8;it-2002-2eur-standard-1st-map;136;moyenne;bright;2;bois-clair;1;IT;2002;Standard 1St Map;2;3
1;9;it-2002-2eur-standard-1st-map;136;moyenne;inhand;2;papier-blanc;1;IT;2002;Standard 1St Map;2;3
1;10;de-2013-2eur-50th-anniversary-of-the-elysee-treaty;41786;canonique;bright;3;papier-blanc;1;DE;2013;50Th Anniversary Of The Elysee Treaty;0;0
1;11;de-2013-2eur-50th-anniversary-of-the-elysee-treaty;41786;canonique;glare;3;bois-clair;1;DE;2013;50Th Anniversary Of The Elysee Treaty;0;0
1;12;de-2013-2eur-50th-anniversary-of-the-elysee-treaty;41786;canonique;dim;3;papier-blanc;1;DE;2013;50Th Anniversary Of The Elysee Treaty;0;0
1;13;fr-2018-2eur-simone-veil;141382;riche;glare;2;tissu-gris;1;FR;2018;Simone Veil;10;18
1;14;fr-2018-2eur-simone-veil;141382;riche;bright;2;table-sombre;1;FR;2018;Simone Veil;10;18
1;15;fr-2018-2eur-simone-veil;141382;riche;dim;2;tissu-gris;1;FR;2018;Simone Veil;10;18
1;16;be-2010-2eur-belgian-presidency-of-the-european-union;11550;moyenne;dim;2;papier-blanc;1;BE;2010;Belgian Presidency Of The European Union;2;2
1;17;be-2010-2eur-belgian-presidency-of-the-european-union;11550;moyenne;glare;2;bois-clair;1;BE;2010;Belgian Presidency Of The European Union;2;2
1;18;be-2010-2eur-belgian-presidency-of-the-european-union;11550;moyenne;bright;2;papier-blanc;1;BE;2010;Belgian Presidency Of The European Union;2;2
1;19;de-2008-2eur-standard-2nd-map;6323;hors_banque;dim;3;table-sombre;1;DE;2008;Standard 2Nd Map;0;2
1;20;de-2008-2eur-standard-2nd-map;6323;hors_banque;glare;3;tissu-gris;1;DE;2008;Standard 2Nd Map;0;2
1;21;de-2008-2eur-standard-2nd-map;6323;hors_banque;bright;3;table-sombre;1;DE;2008;Standard 2Nd Map;0;2
1;22;de-2009-2eur-10th-anniversary-of-economic-and-monetary-union;5054;canonique;tilt;3;bois-clair;1;DE;2009;10Th Anniversary Of Economic And Monetary Union;0;14
1;23;de-2009-2eur-10th-anniversary-of-economic-and-monetary-union;5054;canonique;bright;3;papier-blanc;1;DE;2009;10Th Anniversary Of Economic And Monetary Union;0;14
1;24;de-2009-2eur-10th-anniversary-of-economic-and-monetary-union;5054;canonique;dim;3;bois-clair;1;DE;2009;10Th Anniversary Of Economic And Monetary Union;0;14
1;25;de-2007-2eur-state-of-mecklenburg-vorpommern;2201;riche;dim;2;tissu-gris;1;DE;2007;State Of Mecklenburg Vorpommern;10;35
1;26;de-2007-2eur-state-of-mecklenburg-vorpommern;2201;riche;glare;2;table-sombre;1;DE;2007;State Of Mecklenburg Vorpommern;10;35
1;27;de-2007-2eur-state-of-mecklenburg-vorpommern;2201;riche;tilt;2;tissu-gris;1;DE;2007;State Of Mecklenburg Vorpommern;10;35
1;28;fr-2014-2eur-70th-anniversary-of-d-day;60800;canonique;glare;3;papier-blanc;1;FR;2014;70Th Anniversary Of D Day;0;0
1;29;fr-2014-2eur-70th-anniversary-of-d-day;60800;canonique;inhand;3;bois-clair;1;FR;2014;70Th Anniversary Of D Day;0;0
1;30;fr-2014-2eur-70th-anniversary-of-d-day;60800;canonique;bright;3;papier-blanc;1;FR;2014;70Th Anniversary Of D Day;0;0
