asset_id,crop_path,raw_path,eurio_id,country,year,face_value,is_commemorative,detection_method,fill_ratio,r_pipe,r_probe,r_ratio,bimetal_inner_ring,is_light_bg,is_bimetal_coin,bucket,crop_class,n_coins_in_img,coin_frac,listing_type,dino_sim,dino_class,axis_ratio,tilt_deg,tilt_trustworthy
4ceda56606f64d89a0374e1d8b9e6b41,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/4ceda56606f64d89a0374e1d8b9e6b41.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/64a36a23f1f2454e9f55951ddce0fe46.jpg,,,,,0,yolo+hough+rimrefine,0.9726,309,311.3381652832031,0.9925,0,0,0,mono_textured,ok,2,0.3433,multi_tight,,unknown,0.9721,13.56,0
94fbe18fbbee40cc90b9f3601057c13d,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/63f5c8bc863042ee98c97869941bf5c4/94fbe18fbbee40cc90b9f3601057c13d.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/63f5c8bc863042ee98c97869941bf5c4/a1723bc5befc49eb96dad007a28d1881.jpg,at-2002-2eur-standard-1st-map,AT,2002,2.0,0,yolo+hough+polish+rimrefine,0.9691,53,,,0,1,0,mono_light,ok,1,0.0793,single_small,,unknown,0.9356,20.67,1
9a57c4124f434e3d9e95dcf6e4f5af42,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/9a57c4124f434e3d9e95dcf6e4f5af42.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/a752263166614bbb8baa307b9f03fc38.jpg,fr-2008-2eur-french-presidency-of-the-council-of-the-european-union,FR,2008,2.0,1,yolo+hough+polish+rimrefine,0.9734,302,304.4994812011719,0.9918,0,0,1,bimetal_textured,ok,1,0.2517,single_tight,0.8679,good,0.9961,5.04,0
1550842287b2400f8988a8ab9fc92f27,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/1550842287b2400f8988a8ab9fc92f27.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/ab9e63a4ca294103b803e488ba5d32f4.jpg,fr-2016-2eur-100th-anniversary-of-the-birth-of-francois-mitterrand,FR,2016,2.0,1,yolo+hough+polish+rimrefine,0.977,91,92.33930206298828,0.9855,0,1,1,bimetal_light,ok,2,0.0933,multi_small,0.702,good,0.9816,11.01,0
c8e566c3a33c463db0997c2b35ae6cc6,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/b5d72bf69a2a4dc09c9e5c9f5c92b318/c8e566c3a33c463db0997c2b35ae6cc6.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/b5d72bf69a2a4dc09c9e5c9f5c92b318/dd4503579c7543bbbe0ebf3610e726df.jpg,be-2011-2eur-100th-international-womens-day,BE,2011,2.0,1,yolo+hough+rimrefine,0.9677,356,,,0,0,1,bimetal_textured,ok,2,0.334,multi_tight,0.5512,suspect,0.9657,15.05,1
d3c73b1c946d4a6fa71c12fd8a8ac312,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/40baaa911e914504a15eed52708e12ad/d3c73b1c946d4a6fa71c12fd8a8ac312.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/40baaa911e914504a15eed52708e12ad/586d349554f94f388cda39fa6b4004a5.jpg,ad-2014-2eur-standard-1st-type,AD,2014,2.0,0,yolo+hough+rimrefine,0.9673,164,173.0032958984375,0.948,0,0,0,mono_textured,ok,1,0.1502,single_small,,unknown,0.9590,16.46,1
b307573571234acf9c5ea2f18d05a111,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/b307573571234acf9c5ea2f18d05a111.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/28be5f4854d641829290ab52944a8dc7.jpg,at-2005-2eur-50th-anniversary-of-the-austrian-state-treaty,AT,2005,2.0,1,yolo+hough+rimrefine,0.9757,48,50.766754150390625,0.9455,0,1,1,bimetal_light,ok,8,0.1011,multi_small,0.8036,good,0.8255,34.36,1
2850f5e4f5224578b9363b5d2fc74cd6,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/40baaa911e914504a15eed52708e12ad/2850f5e4f5224578b9363b5d2fc74cd6.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/40baaa911e914504a15eed52708e12ad/be443412f43c46918d5945c10b6f24ff.jpg,ad-2014-2eur-20th-anniversary-of-andorras-membership-in-the-council-of-europe,AD,2014,2.0,1,yolo+hough+rimrefine,0.9602,60,67.8274917602539,0.8846,0,0,1,bimetal_textured,ok,6,0.1163,multi_small,0.8175,good,0.9734,13.24,0
e243dcb75a8a465c8171e5edb793275d,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/e243dcb75a8a465c8171e5edb793275d.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/6c99e019c3994ed2890d0f979704a6a9.jpg,de-2007-2eur-state-of-mecklenburg-vorpommern,DE,2007,2.0,1,yolo+hough+rimrefine,0.9691,115,122.39392852783203,0.9396,1,1,1,bimetal_light,ok,5,0.0958,multi_small,0.7021,good,0.9230,22.63,1
1587b49a52274101874977ff4dce930e,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/acebbf7228364298abcf1803387452c8/1587b49a52274101874977ff4dce930e.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/acebbf7228364298abcf1803387452c8/6b7faca4e45147f8ac1b76db31e41958.jpg,at-2005-2eur-50th-anniversary-of-the-austrian-state-treaty,AT,2005,2.0,1,yolo+hough+rimrefine,1.102,406,,,0,0,1,bimetal_textured,ok,7,0.431,multi_tight,0.4136,wrong,0.7873,38.07,1
84fdfa666dee4f819307ce4304d7b8cd,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/84fdfa666dee4f819307ce4304d7b8cd.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/80050d96fbd3496986b4e6a685883d4f.jpg,de-2020-2eur-german-polish-reconciliation,DE,2020,2.0,1,yolo+hough+rimrefine,0.991,66,,,0,0,1,bimetal_textured,ok,5,0.086,multi_small,0.6041,suspect,0.9778,12.11,0
3f7582d2524242e8991020e15e81177a,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/40baaa911e914504a15eed52708e12ad/3f7582d2524242e8991020e15e81177a.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/40baaa911e914504a15eed52708e12ad/8c76035598c14cd2b01067224a6c8760.jpg,ad-2015-2eur-25th-anniversary-of-the-customs-agreement-with-the-european-union,AD,2015,2.0,1,yolo+hough+polish+rimrefine,0.9702,107,110.09408569335938,0.9719,0,1,1,bimetal_light,ok,2,0.0923,multi_small,0.8659,good,0.9526,17.72,1
4ad3022d209d4dfaa5d4c1aff2631c2f,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/4ad3022d209d4dfaa5d4c1aff2631c2f.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/1dd5ec731aad4133ae2452fd1a6fe2a0.jpg,fr-2008-2eur-french-presidency-of-the-council-of-the-european-union,FR,2008,2.0,1,yolo+hough+rimrefine,0.9365,91,63.8590087890625,1.425,0,1,1,bimetal_light,ok,1,0.2188,single_tight,0.6182,suspect,0.9861,9.56,0
49ea0c70b7cb476594101cc34964344a,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/40baaa911e914504a15eed52708e12ad/49ea0c70b7cb476594101cc34964344a.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/40baaa911e914504a15eed52708e12ad/ca7c7b00a61c4292ae8314527bf19dec.jpg,ad-2015-2eur-25th-anniversary-of-the-customs-agreement-with-the-european-union,AD,2015,2.0,1,yolo+hough+rimrefine,1.0256,323,,,1,1,1,bimetal_light,ok,1,0.2692,single_tight,0.567,suspect,0.8393,32.93,1
8848d7efd11e4dac80aad5d378bb7d06,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/8848d7efd11e4dac80aad5d378bb7d06.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/c1346edf47934a14ad8db359269150b4.jpg,fi-2016-2eur-100th-anniversary-of-the-birth-of-georg-henrik-von-wright,FI,2016,2.0,1,yolo+hough+rimrefine,0.9734,137,166.07376098632812,0.8249,0,1,1,bimetal_light,undercrop,2,0.1546,multi_small,0.6061,suspect,0.9930,6.79,0
44170dac32d8405a82f4bff21c7c4b76,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/44170dac32d8405a82f4bff21c7c4b76.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/1f1590790ac4488ea71a5022a2b6accd.jpg,it-2016-2eur-550th-anniversary-of-the-death-of-donatello,IT,2016,2.0,1,yolo+hough+rimrefine,0.9602,108,,,0,1,1,bimetal_light,ok,3,0.12,multi_small,0.4196,wrong,0.9564,16.98,1
15e059918a3146b48221e06a90fa3b39,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/15e059918a3146b48221e06a90fa3b39.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/5bae1bd2ba78475e9879020e8890d0f9.jpg,de-2010-2eur-state-of-bremen,DE,2010,2.0,1,yolo+hough+rimrefine,0.91,121,,,0,0,1,bimetal_textured,ok,5,0.1005,multi_small,0.7303,good,0.9183,23.32,1
69b0d93057c240d99246124e5989eeb8,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/69b0d93057c240d99246124e5989eeb8.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/eeed925be84f4d258e9f00bf7e2c3f83.jpg,,,,,0,yolo+hough+rimrefine,0.9782,108,,,0,1,0,mono_light,ok,6,0.1471,multi_small,,unknown,0.9772,12.27,0
ab005dc056d34deb8c0b7a8881c88323,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/ab005dc056d34deb8c0b7a8881c88323.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/dc95c7b312154acc9190a13b6ed0aa67.jpg,at-2005-2eur-50th-anniversary-of-the-austrian-state-treaty,AT,2005,2.0,1,yolo+hough+rimrefine,0.9906,222,,,0,0,1,bimetal_textured,ok,5,0.2252,multi_tight,0.3213,wrong,0.9556,17.14,1
a8b3e04c127240179126290dc9127c2d,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/40baaa911e914504a15eed52708e12ad/a8b3e04c127240179126290dc9127c2d.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/40baaa911e914504a15eed52708e12ad/550f9d98ced6408dae22f4780c38ea22.jpg,ad-2014-2eur-20th-anniversary-of-andorras-membership-in-the-council-of-europe,AD,2014,2.0,1,yolo+hough+rimrefine,0.9601,66,,,1,0,1,bimetal_textured,ok,8,0.0819,multi_small,0.7715,good,0.9772,12.27,0
aa203e8b8a724651975f284486f24451,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/aa203e8b8a724651975f284486f24451.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/fbf625be6fc042a38f8ca04858e423ea.jpg,fi-2016-2eur-100th-anniversary-of-the-birth-of-georg-henrik-von-wright,FI,2016,2.0,1,yolo+hough+rimrefine,0.962,137,,,0,1,1,bimetal_light,ok,3,0.0856,multi_small,0.3622,wrong,0.9672,14.71,1
94abc8326acb4400977b9a61a3ee1b63,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/40baaa911e914504a15eed52708e12ad/94abc8326acb4400977b9a61a3ee1b63.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/40baaa911e914504a15eed52708e12ad/ab870e1a934446ad995d1f1309042fe8.jpg,ad-2014-2eur-20th-anniversary-of-andorras-membership-in-the-council-of-europe,AD,2014,2.0,1,yolo+hough+rimrefine,0.967,236,241.6230010986328,0.9767,1,0,1,bimetal_textured,ok,4,0.1967,multi_tight,0.811,good,0.9329,21.11,1
7de5a165138d428c8a01b6c4fac22a21,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/b5d72bf69a2a4dc09c9e5c9f5c92b318/7de5a165138d428c8a01b6c4fac22a21.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/b5d72bf69a2a4dc09c9e5c9f5c92b318/15dc1fd54a0d47a2ae1f1201f04a8819.jpg,be-2011-2eur-100th-international-womens-day,BE,2011,2.0,1,yolo+hough+rimrefine,0.9593,396,,,0,0,1,bimetal_textured,ok,3,0.3289,multi_tight,0.3817,wrong,0.9949,5.81,0
dfbfb876a464436b8c077ef0f6c3b277,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/dfbfb876a464436b8c077ef0f6c3b277.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/e18ba477ec7843868e68793d1fd7e3d0.jpg,,,,,0,yolo+hough+rimrefine,1.1602,549,630.8583984375,0.8702,0,0,0,mono_textured,ok,1,0.61,single_tight,,unknown,0.8629,30.35,1
