scorer,threshold,true2eur_loss,junk_capture
anchor max-sim (baseline),0.3,0.0016,0.083
anchor max-sim (baseline),0.35,0.0016,0.1328
anchor max-sim (baseline),0.4,0.0016,0.1743
anchor max-sim (baseline),0.45,0.0016,0.1992
anchor max-sim (baseline),0.5,0.016,0.2158
anchor max-sim (baseline),0.55,0.0256,0.2697
anchor max-sim (baseline),0.6,0.0513,0.3361
anchor max-sim (baseline),0.65,0.0994,0.5021
anchor max-sim (baseline),0.7,0.1843,0.7427
anchor max-sim (baseline),0.75,0.3333,0.8714
anchor max-sim (baseline),0.8,0.5577,0.9461
anchor max-sim (baseline),0.85,0.7981,0.9876
anchor max-sim (baseline),0.9,0.9583,1.0
anchor max-sim (baseline),0.95,0.9968,1.0
bimetal (baseline),0.0,0.0,0.0
bimetal (baseline),2.0,0.0208,0.39
bimetal (baseline),4.0,0.0545,0.7469
bimetal (baseline),6.0,0.1282,0.8465
bimetal (baseline),8.0,0.2869,0.8755
bimetal (baseline),10.0,0.4824,0.9004
bimetal (baseline),12.0,0.625,0.9336
bimetal (baseline),14.0,0.7564,0.9419
bimetal (baseline),16.0,0.8093,0.9419
bimetal (baseline),18.0,0.859,0.9502
bimetal (baseline),20.0,0.9071,0.9544
bimetal (baseline),22.0,0.9215,0.9627
bimetal (baseline),24.0,0.9279,0.9668
bimetal (baseline),26.0,0.9407,0.9668
bimetal (baseline),28.0,0.9471,0.971
bimetal (baseline),30.0,0.9535,0.971
bimetal (baseline),32.0,0.9583,0.9793
bimetal (baseline),34.0,0.9615,0.9793
bimetal (baseline),36.0,0.9679,0.9876
bimetal (baseline),38.0,0.9744,0.9917
probe dino,0.05,0.0,0.0
probe dino,0.1,0.0,0.029
probe dino,0.15,0.0,0.1369
probe dino,0.2,0.0,0.2946
probe dino,0.25,0.0,0.473
probe dino,0.3,0.0112,0.61
probe dino,0.35,0.0256,0.7344
probe dino,0.4,0.0433,0.7842
probe dino,0.45,0.0625,0.8506
probe dino,0.5,0.0897,0.888
probe dino,0.55,0.1346,0.9212
probe dino,0.6,0.1923,0.9336
probe dino,0.65,0.274,0.9461
probe dino,0.7,0.3798,0.9627
probe dino,0.75,0.5353,0.9834
probe dino,0.8,0.6923,1.0
probe dino,0.85,0.8734,1.0
probe dino,0.9,0.9808,1.0
probe dino,0.95,1.0,1.0
probe dino+bm,0.05,0.0,0.0249
probe dino+bm,0.1,0.0,0.1826
probe dino+bm,0.15,0.0016,0.3278
probe dino+bm,0.2,0.0016,0.5394
probe dino+bm,0.25,0.008,0.6556
probe dino+bm,0.3,0.0128,0.7469
probe dino+bm,0.35,0.0208,0.805
probe dino+bm,0.4,0.0353,0.834
probe dino+bm,0.45,0.0593,0.8672
probe dino+bm,0.5,0.0785,0.8963
probe dino+bm,0.55,0.1106,0.9212
probe dino+bm,0.6,0.1522,0.9253
probe dino+bm,0.65,0.2115,0.9378
probe dino+bm,0.7,0.3141,0.9544
probe dino+bm,0.75,0.4103,0.9544
probe dino+bm,0.8,0.5417,0.9585
probe dino+bm,0.85,0.6923,0.971
probe dino+bm,0.9,0.8301,0.9751
probe dino+bm,0.95,0.9327,0.9917
